"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
  -2.29945302010E+00  -8.23169994354E+00  N358.00004  
   2.12377395630E+01  -6.95730018616E+00  N5642.00001 
   3.27731013298E+00  -8.05490016937E+00  N5642.00002 
   2.02221012115E+01  -6.04269981384E+00  N5642.00003 
   7.07733964920E+00  -7.17070007324E+00  N5642.00004 
   2.33559303284E+01  -7.99389982224E+00  N6112.00001 
   5.79102706909E+00  -9.27439975739E+00  N6112.00002 
   2.21942100525E+01  -7.20120000839E+00  N6112.00003 
   9.40598297119E+00  -8.57320022583E+00  N6112.00004 
  -3.67553186417E+00  -1.00944995880E+01  N1703.00001 
   1.27823476791E+01  -7.04570007324E+00  N1703.00002 
   6.63360208273E-02  -8.08230018616E+00  N1703.00003 
   2.88443794250E+01  -4.60370016098E+00  N5900.00001 
   1.18217725754E+01  -1.17988004684E+01  N5900.00002 
   2.70642414093E+01  -4.45120000839E+00  N5900.00003 
   1.46666927338E+01  -6.67679977417E+00  N5900.00004 
   3.11439990997E+01   2.04570007324E+00  N5224       
   1.75128803253E+01   1.06006002426E+01  N9290.00001 
   1.57749729156E+01   1.07881002426E+01  N9290.00002 
   1.58328227997E+01   1.21848001480E+01  N9290.00003 
   1.58588066101E+01   1.36850996017E+01  N9290.00004 
   1.18384637833E+01   1.17341003418E+01  N9290.00005 
   8.52856254578E+00   1.09110002518E+01  N9290.00006 
   4.72356224060E+00   1.03500003815E+01  N9290.00007 
   1.42828679085E+00   8.05189990997E+00  N9290.00008 
  -8.40738594532E-01   6.42549991608E+00  N9290.00009 
  -1.85012328625E+00   5.53140020370E+00  N9290.00010 
  -2.44527816772E+00   5.02150011063E+00  N9290.00011 
   4.53493881226E+00   7.21320009232E+00  N9290.00012 
   1.17823476791E+01   9.21720027924E+00  N9290.00013 
   1.61575679779E+01   1.25562000275E+01  N9290.00014 
   1.88084964752E+01   1.44696998596E+01  N9290.00015 
   1.67711620331E+01   1.30965995789E+01  N9290.00016 
   1.26996126175E+01   1.20696001053E+01  N9290.00017 
   1.37363681793E+01   1.14710998535E+01  N9290.00018 
   9.89742946625E+00   1.05727996826E+01  N9290.00019 
   6.14330530167E+00   1.01267995834E+01  N9290.00020 
   3.07377696037E+00   1.00282001495E+01  N9290.00021 
   1.18448257446E+01   1.74479997158E+00  N10161.00001
   1.17883577347E+01   2.14409995079E+00  N10161.00002
   1.14540481567E+01   4.31290006638E+00  N10161.00003
   1.12711915970E+01   5.91949987411E+00  N10161.00004
   7.35366678238E+00   4.05749988556E+00  N10161.00005
   3.57091069221E+00   2.94000005722E+00  N10161.00006
