BEGIN Observation_Data Table
NROW=571 NCOL=3 COLUMNLABELS 
ObsName GroupName ObsValue
N5642.00001 Heads -6.95730018616
N5642.00002 Heads -8.05490016937
N5642.00003 Heads -6.04269981384
N5642.00004 Heads -7.17070007324
N6112.00001 Heads -7.99389982224
N6112.00002 Heads -9.27439975739
N6112.00003 Heads -7.20120000839
N6112.00004 Heads -8.57320022583
N1703.00001 Heads -10.094499588
N1703.00002 Heads -7.04570007324
N1703.00003 Heads -8.08230018616
N5900.00001 Heads -4.60370016098
N5900.00002 Heads -11.7988004684
N5900.00003 Heads -4.45120000839
N5900.00004 Heads -6.67679977417
N5224 Heads 2.04570007324
N9290.00001 Heads 10.6006002426
N9290.00002 Heads 10.7881002426
N9290.00003 Heads 12.184800148
N9290.00004 Heads 13.6850996017
N9290.00005 Heads 11.7341003418
N9290.00006 Heads 10.9110002518
N9290.00007 Heads 10.3500003815
N9290.00008 Heads 8.05189990997
N9290.00009 Heads 6.42549991608
N9290.00010 Heads 5.5314002037
N9290.00011 Heads 5.02150011063
N9290.00012 Heads 7.21320009232
N9290.00013 Heads 9.21720027924
N9290.00014 Heads 12.5562000275
N9290.00015 Heads 14.4696998596
N9290.00016 Heads 13.0965995789
N9290.00017 Heads 12.0696001053
N9290.00018 Heads 11.4710998535
N9290.00019 Heads 10.5727996826
N9290.00020 Heads 10.1267995834
N9290.00021 Heads 10.0282001495
N10161.00001 Heads 1.74479997158
N10161.00002 Heads 2.14409995079
N10161.00003 Heads 4.31290006638
N10161.00004 Heads 5.91949987411
N10161.00005 Heads 4.05749988556
N10161.00006 Heads 2.94000005722
N10161.00007 Heads 1.78129994869
N10161.00008 Heads 0.515900015831
N10161.00009 Heads -0.717700004578
N10161.00010 Heads -1.04709994793
N10161.00011 Heads -1.0992000103
N10161.00012 Heads -0.371499985456
N10161.00013 Heads 1.48500001431
N10161.00014 Heads 5.81599998474
N10161.00015 Heads 6.52430009842
N10161.00016 Heads 6.24840021133
N10161.00017 Heads 5.53210020065
N11084.00001 Heads -0.568700015545
N11084.00002 Heads -0.115000002086
N11084.00003 Heads 0.592800021172
N11084.00004 Heads 2.32240009308
N11084.00005 Heads 2.16129994392
N11084.00006 Heads 1.36909997463
N11084.00007 Heads 0.458099991083
N11084.00008 Heads -0.310299992561
N11084.00009 Heads -1.20150005817
N11084.00010 Heads -1.72839999199
N11084.00011 Heads -1.75559997559
N11084.00012 Heads -1.38940000534
N11084.00013 Heads -0.779299974442
N11084.00014 Heads 0.976400017738
N11084.00015 Heads 3.15969991684
N11084.00016 Heads 3.21919989586
N11084.00017 Heads 2.77069997787
N11084.00018 Heads 2.53229999542
N11084.00019 Heads 1.62750005722
N11084.00020 Heads 0.572099983692
N11084.00021 Heads 0.282499998808
N11078.00001 Heads 2.06349992752
N11078.00002 Heads 2.25819993019
N11078.00003 Heads 2.52069997787
N11078.00004 Heads 5.54820013046
N11078.00005 Heads 1.61240005493
N11078.00006 Heads 0.180000007153
N11078.00007 Heads -0.39509999752
N11078.00008 Heads -0.626999974251
N11078.00009 Heads -0.620299994946
N11078.00010 Heads 0.349400013685
N11078.00011 Heads 2.19460010529
N11078.00012 Heads 5.66069984436
N11078.00013 Heads 6.13789987564
N11078.00014 Heads 5.69019985199
N11078.00015 Heads 4.98449993134
N11078.00016 Heads 4.98610019684
N10165.00001 Heads 2.24699997902
N10165.00002 Heads 2.34789991379
N10165.00003 Heads 4.42740011215
N10165.00004 Heads 5.2937002182
N10165.00005 Heads 2.26900005341
N10165.00006 Heads 0.714299976826
N10165.00007 Heads -0.194600000978
N10165.00008 Heads -0.585300028324
N10165.00009 Heads -0.653699994087
N10165.00010 Heads 0.246800005436
N10165.00011 Heads 1.50109994411
N10165.00012 Heads 4.57530021667
N10165.00013 Heads 6.12890005112
N10165.00014 Heads 5.98740005493
N10165.00015 Heads 5.40380001068
N10383.00001 Heads -0.0879999995232
N10383.00002 Heads 0.263599991798
N10383.00003 Heads 1.89199995995
N10383.00004 Heads 4.05709981918
N10383.00005 Heads 2.67729997635
N10383.00006 Heads 1.63469994068
N10383.00007 Heads 0.786800026894
N10383.00008 Heads 0.174300000072
N10383.00009 Heads -0.281399995089
N10383.00010 Heads -0.529799997807
N10383.00011 Heads -0.689400017262
N10383.00012 Heads -0.716799974442
N10383.00013 Heads 0.0804999992251
N10383.00014 Heads 4.11059999466
N10383.00015 Heads 4.95100021362
N10383.00016 Heads 4.70109987259
N10383.00017 Heads 3.66330003738
N10383.00018 Heads 3.03080010414
N10383.00019 Heads 1.82729995251
N10383.00020 Heads 0.949699997902
N10383.00021 Heads 0.60119998455
N10746.00001 Heads 6.9158000946
N10746.00002 Heads 7.08500003815
N10746.00003 Heads 7.50299978256
N10746.00004 Heads 6.08729982376
N10746.00005 Heads 4.67600011826
N10746.00006 Heads 5.36320018768
N10746.00007 Heads 5.32089996338
N10746.00008 Heads 5.70090007782
N10746.00009 Heads 6.07919979095
N10746.00010 Heads 6.07390022278
N10746.00011 Heads 6.94460010529
N10746.00012 Heads 7.15280008316
N10746.00013 Heads 7.45720005035
N10746.00014 Heads 8.05160045624
N10746.00015 Heads 8.42220020294
N10746.00016 Heads 8.29049968719
N10746.00017 Heads 7.18970012665
N10746.00018 Heads 6.46929979324
N10746.00019 Heads 6.04180002213
N10746.00020 Heads 7.60200023651
End Observation_Data
